no,filename,title,category,grade
A-001,A-001_academic_discussion.jpg,学術的討論,situation,上級
A-002,A-002_ted_talk.jpg,TEDトーク,situation,上級
A-003,A-003_policy_debate.jpg,政策討論,situation,上級
A-004,A-004_press_conference.jpg,記者会見,situation,上級
A-005,A-005_boardroom.jpg,取締役会,situation,上級
A-006,A-006_patent_filing.jpg,特許出願,situation,上級
A-007,A-007_ma_negotiation.jpg,M&A交渉,situation,上級
A-008,A-008_startup_pitch.jpg,スタートアップのピッチ,situation,上級
A-009,A-009_academic_lecture.jpg,学術講義,situation,上級
A-010,A-010_legal_deposition.jpg,法的証言,situation,上級
A-011,A-011_scientific_presentation.jpg,学術発表,situation,上級
A-012,A-012_diplomatic_meeting.jpg,外交的会議,situation,上級
A-013,A-013_vc_meeting.jpg,ベンチャーキャピタル,situation,上級
A-014,A-014_ipo_roadshow.jpg,IPOロードショー,situation,上級
A-015,A-015_design_thinking.jpg,デザイン思考,situation,上級
A-016,A-016_agile_standup.jpg,アジャイルの朝礼,situation,上級
A-017,A-017_ethics_committee.jpg,倫理委員会,situation,上級
A-018,A-018_literary_analysis.jpg,文学分析,skill,上級
A-019,A-019_philosophy_debate.jpg,哲学討論,skill,上級
A-020,A-020_ai_terminology.jpg,AIの専門用語,skill,上級
A-021,A-021_climate_discourse.jpg,気候変動の議論,skill,上級
A-022,A-022_economic_analysis.jpg,経済分析,skill,上級
A-023,A-023_corporate_governance.jpg,コーポレートガバナンス,skill,上級
A-024,A-024_whistleblowing.jpg,内部告発,skill,上級
A-025,A-025_regulatory_compliance.jpg,法令遵守,skill,上級
A-026,A-026_blockchain.jpg,ブロックチェーン,skill,上級
A-027,A-027_quantum_computing.jpg,量子コンピューター,skill,上級
A-028,A-028_global_strategy.jpg,グローバル戦略,skill,上級
A-029,A-029_innovation_workshop.jpg,イノベーション研修,skill,上級
A-030,A-030_cross_cultural_mgmt.jpg,異文化マネジメント,skill,上級
A-031,A-031_venture_pitch_skill.jpg,ベンチャーピッチ技術,skill,上級
A-032,A-032_media_analysis.jpg,メディア分析,skill,上級
A-033,A-033_diplomatic_language.jpg,外交的表現,skill,上級
A-034,A-034_ipo_language.jpg,IPO用語,skill,上級
A-035,A-035_oxford.jpg,オックスフォード,city,上級
A-036,A-036_cambridge_uk.jpg,ケンブリッジ,city,上級
A-037,A-037_new_york_finance.jpg,ウォール街,city,上級
A-038,A-038_zurich.jpg,チューリッヒ,city,上級
A-039,A-039_geneva.jpg,ジュネーブ,city,上級
A-040,A-040_brussels.jpg,ブリュッセル,city,上級
A-041,A-041_tokyo_english.jpg,東京の英語環境,city,上級
A-042,A-042_beijing_english.jpg,北京の英語,city,上級
A-043,A-043_hong_kong_finance.jpg,香港の金融,city,上級
A-044,A-044_seoul_english.jpg,ソウルの英語,city,上級
A-045,A-045_nairobi_tech.jpg,ナイロビのテック,city,上級
A-046,A-046_silicon_valley.jpg,シリコンバレー,city,上級
A-047,A-047_reykjavik.jpg,レイキャビク,city,上級
A-048,A-048_abu_dhabi.jpg,アブダビ,city,上級
A-049,A-049_amsterdam_global.jpg,アムステルダムの国際性,city,上級
A-050,A-050_davos.jpg,ダボス会議,city,上級
B-001,B-001_greeting.jpg,あいさつ,situation,初級
B-002,B-002_self_intro.jpg,自己紹介,situation,初級
B-003,B-003_telling_time.jpg,時刻を伝える,situation,初級
B-004,B-004_weather_talk.jpg,天気の話,situation,初級
B-005,B-005_family_intro.jpg,家族の紹介,situation,初級
B-006,B-006_daily_routine.jpg,日課,situation,初級
B-007,B-007_asking_directions.jpg,道を尋ねる,situation,初級
B-008,B-008_ordering_food.jpg,食事の注文,situation,初級
B-009,B-009_classroom_english.jpg,教室の英語,situation,初級
B-010,B-010_phone_number.jpg,番号交換,situation,初級
B-011,B-011_shopping_basic.jpg,お買い物,situation,初級
B-012,B-012_simple_request.jpg,シンプルなお願い,situation,初級
B-013,B-013_apology.jpg,謝る,situation,初級
B-014,B-014_thanks.jpg,感謝を伝える,situation,初級
B-015,B-015_at_home.jpg,家で,situation,初級
B-016,B-016_simple_directions.jpg,地図を読む,situation,初級
B-017,B-017_seasons.jpg,四季,situation,初級
B-018,B-018_alphabet.jpg,アルファベット,skill,初級
B-019,B-019_counting.jpg,数を数える,skill,初級
B-020,B-020_colors.jpg,色,skill,初級
B-021,B-021_basic_adjectives.jpg,形容詞,skill,初級
B-022,B-022_feelings.jpg,気持ち,skill,初級
B-023,B-023_body_parts.jpg,体の部位,skill,初級
B-024,B-024_clothes.jpg,衣類,skill,初級
B-025,B-025_animals.jpg,動物,skill,初級
B-026,B-026_simple_past.jpg,過去形,skill,初級
B-027,B-027_present_continuous.jpg,現在進行形,skill,初級
B-028,B-028_yes_no_questions.jpg,Yes・No疑問文,skill,初級
B-029,B-029_months_days.jpg,月と曜日,skill,初級
B-030,B-030_numbers_pronunciation.jpg,数の発音,skill,初級
B-031,B-031_basic_food_vocab.jpg,食べ物の単語,skill,初級
B-032,B-032_classroom_vocab.jpg,教室の単語,skill,初級
B-033,B-033_simple_sentences.jpg,短文,skill,初級
B-034,B-034_phonics.jpg,フォニックス,skill,初級
B-035,B-035_new_zealand.jpg,ニュージーランド,city,初級
B-036,B-036_ireland.jpg,アイルランド,city,初級
B-037,B-037_scotland.jpg,スコットランド,city,初級
B-038,B-038_wales.jpg,ウェールズ,city,初級
B-039,B-039_canada_maple.jpg,カナダ,city,初級
B-040,B-040_australia_outback.jpg,オーストラリアの内陸,city,初級
B-041,B-041_usa_midwest.jpg,アメリカ中西部,city,初級
B-042,B-042_england_countryside.jpg,イングランドの田舎,city,初級
B-043,B-043_philippines.jpg,フィリピン,city,初級
B-044,B-044_india_english.jpg,インドの英語,city,初級
B-045,B-045_south_africa.jpg,南アフリカ,city,初級
B-046,B-046_jamaica.jpg,ジャマイカ,city,初級
B-047,B-047_brazil_english.jpg,ブラジルの英語,city,初級
B-048,B-048_kenya.jpg,ケニア,city,初級
B-049,B-049_nigeria.jpg,ナイジェリア,city,初級
B-050,B-050_simple_phrases.jpg,基本フレーズ,city,初級
C-001,C-001_cafe_order.jpg,カフェで注文,situation,共通
C-002,C-002_airport_checkin.jpg,空港でチェックイン,situation,共通
C-003,C-003_hotel_lobby.jpg,ホテルのロビー,situation,共通
C-004,C-004_restaurant_order.jpg,レストランで注文,situation,共通
